date,HUFL
2016/7/1 0:00,14.42
2016/7/1 1:00,13.84
2016/7/1 2:00,18.72
2016/7/1 3:00,13.64
2016/7/1 4:00,13.6
2016/7/1 5:00,18.72
2016/7/1 6:00,14.03
2016/7/1 7:00,14.05
2016/7/1 8:00,19.15
2016/7/1 9:00,14.64
2016/7/1 10:00,13.14
2016/7/1 11:00,19.09
2016/7/1 12:00,14.52
2016/7/1 13:00,13.84
2016/7/1 14:00,18.7
2016/7/1 15:00,13.59
2016/7/1 16:00,13.54
2016/7/1 17:00,18.71
2016/7/1 18:00,13.61
2016/7/1 19:00,13.56
2016/7/1 20:00,18.85
2016/7/1 21:00,13.51
2016/7/1 22:00,13.94
2016/7/1 23:00,18.67
2016/7/2 0:00,13.92
2016/7/2 1:00,13.92
2016/7/2 2:00,19.07
2016/7/2 3:00,14.46
2016/7/2 4:00,12.94
2016/7/2 5:00,18.96
2016/7/2 6:00,13.77
2016/7/2 7:00,12.63
2016/7/2 8:00,19.03
2016/7/2 9:00,13.92
2016/7/2 10:00,12.81
2016/7/2 11:00,18.86
2016/7/2 12:00,13.95
2016/7/2 13:00,13.96
2016/7/2 14:00,18.93
2016/7/2 15:00,13.69
2016/7/2 16:00,13.02
2016/7/2 17:00,18.87
2016/7/2 18:00,13.56
2016/7/2 19:00,12.87
2016/7/2 20:00,18.6
2016/7/2 21:00,14.34
2016/7/2 22:00,13.28
2016/7/2 23:00,18.97
2016/7/3 0:00,13.79
2016/7/3 1:00,12.66
2016/7/3 2:00,18.73
2016/7/3 3:00,14.07
2016/7/3 4:00,14.09
2016/7/3 5:00,19.04
2016/7/3 6:00,14.38
2016/7/3 7:00,13.8
2016/7/3 8:00,18.8
2016/7/3 9:00,14.8
2016/7/3 10:00,13.81
2016/7/3 11:00,18.87
2016/7/3 12:00,13.99
2016/7/3 13:00,14
2016/7/3 14:00,13.69
2016/7/3 15:00,18.79
2016/7/3 16:00,13.81
2016/7/3 17:00,18.64
2016/7/3 18:00,14.43
2016/7/3 19:00,13.86
2016/7/3 20:00,18.98
2016/7/3 21:00,14.65
2016/7/3 22:00,13.15
2016/7/3 23:00,18.89
2016/7/4 0:00,14.43
2016/7/4 1:00,13.39
2016/7/4 2:00,18.64
2016/7/4 3:00,13.87
2016/7/4 4:00,13.86
2016/7/4 5:00,19.09
2016/7/4 6:00,14.49
2016/7/4 7:00,12.97
2016/7/4 8:00,18.64
2016/7/4 9:00,14.41
2016/7/4 10:00,13.83
2016/7/4 11:00,18.81
2016/7/4 12:00,14.25
2016/7/4 13:00,13.18
2016/7/4 14:00,18.78
2016/7/4 15:00,13.78
2016/7/4 16:00,13.75
2016/7/4 17:00,19.06
2016/7/4 18:00,14.43
2016/7/4 19:00,12.9
2016/7/4 20:00,18.81
2016/7/4 21:00,14.25
2016/7/4 22:00,13.74
2016/7/4 23:00,18.68
2016/7/5 0:00,13.54
2016/7/5 1:00,13.98
2016/7/5 2:00,18.92
2016/7/5 3:00,14.09
2016/7/5 4:00,12.51
2016/7/5 5:00,18.95
2016/7/5 6:00,14.17
2016/7/5 7:00,12.6
2016/7/5 8:00,18.7
2016/7/5 9:00,13.58
2016/7/5 10:00,13.53
2016/7/5 11:00,18.98
2016/7/5 12:00,13.81
2016/7/5 13:00,12.68
2016/7/5 14:00,18.63
2016/7/5 15:00,14.82
2016/7/5 16:00,13.34
2016/7/5 17:00,18.81
2016/7/5 18:00,14.81
2016/7/5 19:00,13.82
2016/7/5 20:00,18.9
2016/7/5 21:00,13.63
2016/7/5 22:00,14.07
2016/7/5 23:00,18.88
2016/7/6 0:00,14
2016/7/6 1:00,14
2016/7/6 2:00,18.94
2016/7/6 3:00,13.71
2016/7/6 4:00,12.56
2016/7/6 5:00,18.97
2016/7/6 6:00,14.63
2016/7/6 7:00,13.13
2016/7/6 8:00,18.77
2016/7/6 9:00,13.76
2016/7/6 10:00,13.09
2016/7/6 11:00,18.71
2016/7/6 12:00,14.58
2016/7/6 13:00,14.04
2016/7/6 14:00,18.82
2016/7/6 15:00,13.86
2016/7/6 16:00,13.84
2016/7/6 17:00,18.98
2016/7/6 18:00,14.24
2016/7/6 19:00,13.17
2016/7/6 20:00,19.06
2016/7/6 21:00,14.83
2016/7/6 22:00,13.36
2016/7/6 23:00,18.91
2016/7/7 0:00,14.07
2016/7/7 1:00,14.09
2016/7/7 2:00,18.89
2016/7/7 3:00,13.61
2016/7/7 4:00,14.05
2016/7/7 5:00,18.61
2016/7/7 6:00,14.34
2016/7/7 7:00,13.29
2016/7/7 8:00,18.63
2016/7/7 9:00,14.4
2016/7/7 10:00,13.83
2016/7/7 11:00,18.97
2016/7/7 12:00,14.23
2016/7/7 13:00,12.67
2016/7/7 14:00,18.64
2016/7/7 15:00,14.86
2016/7/7 16:00,13.39
2016/7/7 17:00,18.64
2016/7/7 18:00,14.84
2016/7/7 19:00,13.37
2016/7/7 20:00,19.04
2016/7/7 21:00,14.38
2016/7/7 22:00,13.8
2016/7/7 23:00,18.8
2016/7/8 0:00,14.79
2016/7/8 1:00,13.8
2016/7/8 2:00,18.67
2016/7/8 3:00,14.5
2016/7/8 4:00,13.94
2016/7/8 5:00,19.16
2016/7/8 6:00,13.66
2016/7/8 7:00,13.62
2016/7/8 8:00,19.03
2016/7/8 9:00,13.94
2016/7/8 10:00,12.83
2016/7/8 11:00,18.7
2016/7/8 12:00,14.57
2016/7/8 13:00,14.01
2016/7/8 14:00,18.79
2016/7/8 15:00,13.8
2016/7/8 16:00,13.78
2016/7/8 17:00,19.17
2016/7/8 18:00,14.68
2016/7/8 19:00,18.95
2016/7/8 20:00,14.58
2016/7/8 21:00,13.07
2016/7/8 22:00,12.84
2016/7/8 23:00,18.66
2016/7/9 0:00,14.46
2016/7/9 1:00,13.42
2016/7/9 2:00,18.69
2016/7/9 3:00,13.98
2016/7/9 4:00,13.99
2016/7/9 5:00,18.71
2016/7/9 6:00,14.03
2016/7/9 7:00,14.04
2016/7/9 8:00,18.72
2016/7/9 9:00,13.63
2016/7/9 10:00,13.59
2016/7/9 11:00,18.72
2016/7/9 12:00,13.62
2016/7/9 13:00,14.07
2016/7/9 14:00,18.87
2016/7/9 15:00,14.41
2016/7/9 16:00,12.87
2016/7/9 17:00,18.72
2016/7/9 18:00,14.05
2016/7/9 19:00,14.07
2016/7/9 20:00,18.92
2016/7/9 21:00,14.1
2016/7/9 22:00,12.52
2016/7/9 23:00,19.09
2016/7/10 0:00,14.5
2016/7/10 1:00,13.47
2016/7/10 2:00,18.73
2016/7/10 3:00,13.65
2016/7/10 4:00,13.61
2016/7/10 5:00,18.95
2016/7/10 6:00,14.17
2016/7/10 7:00,12.6
2016/7/10 8:00,19.01
2016/7/10 9:00,14.3
2016/7/10 10:00,12.76
2016/7/10 11:00,18.66
2016/7/10 12:00,14.46
2016/7/10 13:00,13.42
2016/7/10 14:00,18.72
2016/7/10 15:00,13.63
2016/7/10 16:00,13.59
2016/7/10 17:00,18.71
2016/7/10 18:00,13.61
2016/7/10 19:00,14.05
2016/7/10 20:00,18.7
2016/7/10 21:00,13.99
2016/7/10 22:00,14
2016/7/10 23:00,18.91
2016/7/11 0:00,14.08
2016/7/11 1:00,12.5
2016/7/11 2:00,18.92
2016/7/11 3:00,13.67
2016/7/11 4:00,12.99
2016/7/11 5:00,18.88
2016/7/11 6:00,14.41
2016/7/11 7:00,12.88
2016/7/11 8:00,19.02
2016/7/11 9:00,13.91
2016/7/11 10:00,12.79
2016/7/11 11:00,18.72
2016/7/11 12:00,13.62
2016/7/11 13:00,13.58
2016/7/11 14:00,19.17
2016/7/11 15:00,14.25
2016/7/11 16:00,13.18
2016/7/11 17:00,18.65
2016/7/11 18:00,14.45
2016/7/11 19:00,13.41
2016/7/11 20:00,18.9
2016/7/11 21:00,14.46
2016/7/11 22:00,12.93
2016/7/11 23:00,18.83
2016/7/12 0:00,14.3
2016/7/12 1:00,12.76
2016/7/12 2:00,18.9
2016/7/12 3:00,14.46
2016/7/12 4:00,12.93
2016/7/12 5:00,18.93
2016/7/12 6:00,14.13
2016/7/12 7:00,12.55
